crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,off_street_name,cross_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,collision_id,vehicle_type_code1,vehicle_type_code2,day_of_week,month,is_weekend,year
2022-04-12,19,BROOKLYN,11203.0,40.65011,-73.930214,"
,  
(40.65011, -73.930214)",UTICA AVENUE,SNYDER AVENUE,Unknown,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Unknown,4522136,Station Wagon/Sport Utility Vehicle,Unknown,Tuesday,April,0,2022
2022-04-24,0,BROOKLYN,11207.0,40.638382,-74.03668,"
,  
(40.638382, -74.03668)",BELT PARKWAY,Unknown,Unknown,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4521469,Sedan,Sedan,Sunday,April,1,2022
2022-04-24,20,QUEENS,11419.0,40.69261,-73.81143,"
,  
(40.69261, -73.81143)",Unknown,Unknown,102-24    VANWYCK EXPRESSWAY,0,0,0,0,0,0,0,0,Aggressive Driving/Road Rage,Unknown,4521859,Sedan,Unknown,Sunday,April,1,2022
2022-04-24,15,QUEENS,11101.0,40.745235,-73.937706,"
,  
(40.745235, -73.937706)",THOMSON AVENUE,SKILLMAN AVENUE,Unknown,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4521590,Sedan,Sedan,Sunday,April,1,2022
2022-04-24,21,QUEENS,11106.0,40.758705,-73.93793,"
,  
(40.758705, -73.93793)",21 STREET,37 AVENUE,Unknown,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,4521684,Sedan,Sedan,Sunday,April,1,2022
2022-04-24,21,QUEENS,11418.0,40.695156,-73.845406,"
,  
(40.695156, -73.845406)",JAMAICA AVENUE,102 STREET,Unknown,0,0,0,0,0,0,0,0,Reaction to Uninvolved Vehicle,Unspecified,4521858,Ambulance,Station Wagon/Sport Utility Vehicle,Sunday,April,1,2022
2022-04-07,14,MANHATTAN,10017.0,40.748158,-73.97033,"
,  
(40.748158, -73.97033)",1 AVENUE,EAST 41 STREET,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Passing or Lane Usage Improper,4522242,Sedan,Station Wagon/Sport Utility Vehicle,Thursday,April,0,2022
2021-06-29,17,BROOKLYN,11207.0,40.609535,-73.75372,"
,  
(40.609535, -73.75372)",BEACH CHANNEL DRIVE,Unknown,Unknown,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,4456672,Station Wagon/Sport Utility Vehicle,E-Bike,Tuesday,June,0,2021
2021-12-09,20,BROOKLYN,11223.0,40.59207,-73.96299,"
,  
(40.59207, -73.96299)",EAST 7 STREET,CRAWFORD AVENUE,Unknown,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,4485150,Bike,Unknown,Thursday,December,0,2021
2021-12-09,14,BROOKLYN,11207.0,40.850018,-73.9107,"
,  
(40.850018, -73.9107)",WEST 177 STREET,Unknown,Unknown,0,0,0,0,0,0,0,0,Unspecified,Unspecified,4485116,Station Wagon/Sport Utility Vehicle,Sedan,Thursday,December,0,2021
2021-12-09,2,QUEENS,11422.0,40.653023,-73.73895,"
,  
(40.653023, -73.73895)",149 AVENUE,HUXLEY STREET,Unknown,1,0,0,0,0,0,1,0,Alcohol Involvement,Unknown,4485026,Sedan,Unknown,Thursday,December,0,2021
2021-12-06,22,BROOKLYN,11207.0,40.62573,-73.9564,"
,  
(40.62573, -73.9564)",AVENUE J,Unknown,Unknown,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4485528,Sedan,Unknown,Monday,December,0,2021
2021-12-04,12,BROOKLYN,11213.0,40.665375,-73.934235,"
,  
(40.665375, -73.934235)",CROWN STREET,SCHENECTADY AVENUE,Unknown,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4485333,Sedan,Ambulance,Saturday,December,1,2021
2021-12-08,16,MANHATTAN,10128.0,40.776237,-73.943825,"
,  
(40.776237, -73.943825)",EAST END AVENUE,EAST 88 STREET,Unknown,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,4485234,Taxi,Station Wagon/Sport Utility Vehicle,Wednesday,December,0,2021
2021-12-09,23,BROOKLYN,11218.0,40.640835,-73.98967,"
,  
(40.640835, -73.98967)",12 AVENUE,41 STREET,Unknown,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,4485355,Sedan,Bike,Thursday,December,0,2021
2021-12-01,14,QUEENS,11692.0,40.593636,-73.797264,"
,  
(40.593636, -73.797264)",Unknown,Unknown,437       BEACH 68 STREET,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,4485581,Sedan,Pick-up Truck,Wednesday,December,0,2021
